location,weight
常州市监测站_pm2_5,0.09996296811785096
常州市监测站_pm10,0.19042942825112763
常州市监测站_so2,0.9605596332550922
常州市监测站_no2,-0.21136382343144902
常州市监测站_co,0.9830662959653174
常州市监测站_o3,0.42206649260667106
常州安家_pm2_5,-0.07508361626615123
常州安家_pm10,0.16713165527246074
常州安家_so2,0.9580204562034675
常州安家_no2,-0.224904855512232
常州安家_co,0.9829959514826139
常州安家_o3,0.7713465525703672
常州武进监测站_pm2_5,-0.20036562929383214
常州武进监测站_pm10,0.054545913047261696
常州武进监测站_so2,0.9584050057460477
常州武进监测站_no2,-0.35390616724539525
常州武进监测站_co,0.9830629572539468
常州武进监测站_o3,0.36677784299562094
镇江职教中心_pm2_5,-0.2491378757558053
镇江职教中心_pm10,0.15400903112507452
镇江职教中心_so2,0.9573874230918188
镇江职教中心_no2,0.6847438746333322
镇江职教中心_co,0.983072591637219
镇江职教中心_o3,0.3692929626819112
无锡堰桥_pm2_5,-0.3052643638372329
无锡堰桥_pm10,0.06348964896456895
无锡堰桥_so2,0.9598022459726004
无锡堰桥_no2,-0.3488568636312108
无锡堰桥_co,0.9830988484087282
无锡堰桥_o3,0.7642264740445074
南京瑞金路_pm2_5,0.7028412829990884
南京瑞金路_pm10,0.08403375205322702
南京瑞金路_so2,0.959979185655637
南京瑞金路_no2,-0.45447434868362496
南京瑞金路_co,0.9830682913447836
南京瑞金路_o3,0.8190947295412438
南京中华门_pm2_5,0.8109844966392805
南京中华门_pm10,0.08993249257013251
南京中华门_so2,0.9601399621120649
南京中华门_no2,-0.31783553534381076
南京中华门_co,0.983029136326031
南京中华门_o3,0.7685636007497357
扬州邗江监测站_pm2_5,0.6995316862645996
扬州邗江监测站_pm10,0.10625324164760148
扬州邗江监测站_so2,0.9596899278829806
扬州邗江监测站_no2,0.8729303203264206
扬州邗江监测站_co,0.9830140868352646
扬州邗江监测站_o3,0.6641032708527629
无锡曹张_pm2_5,0.9463077980234907
无锡曹张_pm10,0.8055052448864141
无锡曹张_so2,1.0
无锡曹张_no2,0.8686889519852401
无锡曹张_co,0.9830462850089023
无锡曹张_o3,0.8754574157809589
南通虹桥_pm2_5,0.7001671739991587
南通虹桥_pm10,0.6710628259093967
南通虹桥_so2,0.9580049834262486
南通虹桥_no2,0.8030938476233465
南通虹桥_co,0.9829937974642443
南通虹桥_o3,-0.09139647507829814
镇江新区办事处_pm2_5,0.6886821687944389
镇江新区办事处_pm10,0.23992048855558668
镇江新区办事处_so2,0.9600806377509101
镇江新区办事处_no2,0.8028668963162131
镇江新区办事处_co,0.9830423207645891
镇江新区办事处_o3,0.7703759847013828
