location,weight
泰州莲花,0.8225462436676025
泰州留学生创业园,0.8283383250236511
镇江新区办事处,0.8905457258224487
常州市监测站,1.0
常州安家,0.9625122547149658
镇江职教中心,0.9518186450004578
常州武进监测站,0.9640325307846069
扬州邗江监测站,0.6245555281639099
镇江丹徒区监测站,0.9240019917488098
泰州公园路,0.4482465386390686
无锡堰桥,0.886360228061676
无锡曹张,0.8405759334564209
无锡东亭,0.8320935964584351
无锡漆塘,0.8730717301368713
南通紫琅学院,0.852753758430481
无锡旺庄,0.8099870085716248
苏州相城区,0.8489593267440796
南通虹桥,0.8417646884918213
苏州苏州新区,0.8342973589897156
南通星湖花园,0.8575704097747803
苏州彩香,0.8719869256019592
苏州轧钢厂,0.8368556499481201
南通城中,0.8293910026550293
苏州苏州工业园区,0.8417858481407166
苏州吴中区,0.8151193261146545
宿迁宿迁中学,0.02711298130452633
宿迁宿迁学院,0.04827498644590378
南京奥体中心,0.8025650382041931
南京山西路,0.7791585922241211
南京中华门,0.797904372215271
南京玄武湖,0.7884950637817383
南京草场门,0.7890452146530151
南京仙林大学城,0.7543639540672302
淮安楚州区监测站,0.14906726777553558
南京迈皋桥,0.7641743421554565
南京瑞金路,0.7881192564964294
淮安钵池山,0.09216955304145813
南京浦口,0.7548025250434875
淮安北京南路,0.1160622239112854
淮安市监测站,0.09717058390378952
淮安淮阴区监测站,0.07642881572246552
盐城市监测站,0.18458682298660278
盐城盐城电厂,0.18749459087848663
盐城开发区管委会,0.16396671533584595
徐州桃园路,0.0522092841565609
徐州黄河新村,0.040796078741550446
连云港市环境监测站,0.031219007447361946
徐州农科院,0.02388271503150463
徐州淮塔,0.05816804990172386
徐州新城区,0.06489256024360657
